shipment_id,carrier,origin_city,destination_city,product_type,delay_risk,delay_probability,estimated_delay_days,customer_notification,notification_urgency
SHP00001,FastShip,Shanghai,Frankfurt,Electronics,High,0.9894,17,"I'm sorry your shipment SHP00001 from Shanghai to Frankfurt is now expected between Mar 12, 2024 to Mar 13, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00002,GlobalFreight,Shanghai,Sydney,Industrial,High,0.9927,22,"I'm sorry your shipment SHP00002 from Shanghai to Sydney is now expected between Sep 22, 2024 to Sep 23, 2024. The most likely cause is routing delays with GlobalFreight. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00004,GlobalFreight,Rotterdam,Frankfurt,Industrial,High,0.9787,10,"I'm sorry your shipment SHP00004 from Rotterdam to Frankfurt is now expected between Jul 30, 2024 to Jul 31, 2024. The most likely cause is routing delays with GlobalFreight. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00005,QuickMove,Rotterdam,New York,Pharma,High,0.9649,21,"I'm sorry your shipment SHP00005 from Rotterdam to New York is now expected between Mar 03, 2024 to Mar 04, 2024. The most likely cause is routing delays with QuickMove. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00007,AirExpress,Ṣo Paulo,Tokyo,Consumer Goods,High,0.9738,7,"I'm sorry your shipment SHP00007 from Ṣo Paulo to Tokyo is now expected between Mar 17, 2024 to Mar 18, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00008,FastShip,Chicago,London,Perishable,High,0.9516,10,"I'm sorry your shipment SHP00008 from Chicago to London is now expected between Dec 08, 2024 to Dec 09, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00009,GlobalFreight,Singapore,Frankfurt,Industrial,High,0.9852,21,"I'm sorry your shipment SHP00009 from Singapore to Frankfurt is now expected between Nov 20, 2024 to Nov 21, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00010,QuickMove,Singapore,Sydney,Pharma,High,0.9674,12,"I'm sorry your shipment SHP00010 from Singapore to Sydney is now expected between Jan 24, 2024 to Jan 25, 2024. The most likely cause is routing delays with QuickMove. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00011,GroundPlus,Dubai,Frankfurt,Pharma,High,0.9609,13,"I'm sorry your shipment SHP00011 from Dubai to Frankfurt is now expected between Aug 20, 2024 to Aug 21, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00013,AirExpress,Mumbai,London,Pharma,High,0.9775,16,"I'm sorry your shipment SHP00013 from Mumbai to London is now expected between May 01, 2024 to May 02, 2024. The most likely cause is routing delays with AirExpress. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00014,GroundPlus,Shanghai,Cape Town,Perishable,High,0.9171,20,"I'm sorry your shipment SHP00014 from Shanghai to Cape Town is now expected between Jun 03, 2024 to Jun 04, 2024. The most likely cause is routing delays with GroundPlus. Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
SHP00045,QuickMove,Singapore,Toronto,Pharma,High,0.9595,9,"I'm sorry your shipment SHP00045 from Singapore to Toronto is now expected between Nov 15, 2024 to Nov 16, 2024. The most likely cause is delayed customs clearance (currently Pending). Please adjust your receiving schedule or contact your LogiTrack account manager if you need a different delivery plan.",IMMEDIATE
