shipment_id,carrier,origin_city,destination_city,product_type,weight_kg,distance_km,promised_transit_days,actual_transit_days,delay_days,customs_status,num_stops,carrier_rating,ship_date,delayed_flag
SHP00001,FastShip,Shanghai,Frankfurt,Electronics,3868.2,10769,13,23,10,Pending,3,2.7,2024-02-24,1
SHP00002,GlobalFreight,Shanghai,Sydney,Industrial,2047.8,2332,18,27,9,Cleared,2,3.6,2024-08-31,1
SHP00003,GlobalFreight,Rotterdam,Cape Town,Pharma,1821.4,12550,12,10,0,Cleared,0,4.1,2024-12-09,0
SHP00004,GlobalFreight,Rotterdam,Frankfurt,Industrial,1553.2,12390,6,11,5,Exempt,3,2.0,2024-07-20,1
SHP00005,QuickMove,Rotterdam,New York,Pharma,1494.1,5750,17,25,8,Exempt,0,2.8,2024-02-11,1
SHP00006,AirExpress,Chicago,Tokyo,Industrial,4633.2,11402,16,17,1,Pending,2,3.5,2024-06-29,0
SHP00007,AirExpress,Ṣo Paulo,Tokyo,Consumer Goods,3691.5,15352,3,2,0,Pending,3,4.4,2024-03-10,0
SHP00008,FastShip,Chicago,London,Perishable,1575.5,3194,6,9,3,Pending,4,4.1,2024-11-28,1
SHP00009,GlobalFreight,Singapore,Frankfurt,Industrial,3965.3,10966,17,30,13,Pending,2,2.5,2024-10-30,1
SHP00010,QuickMove,Singapore,Sydney,Pharma,431.2,12545,8,18,10,Exempt,4,2.7,2024-01-12,1
SHP00011,GroundPlus,Dubai,Frankfurt,Pharma,4535.2,15652,9,15,6,Pending,0,3.2,2024-08-07,1
SHP00012,GroundPlus,Rotterdam,London,Electronics,4790.6,6074,21,22,1,Cleared,4,3.3,2024-08-20,0
SHP00013,AirExpress,Mumbai,London,Pharma,960.8,9222,12,25,13,Exempt,1,3.3,2024-04-15,1
SHP00014,GroundPlus,Shanghai,Cape Town,Perishable,3636.3,6705,16,19,3,Exempt,1,2.1,2024-05-14,1
SHP00045,QuickMove,Singapore,Toronto,Pharma,3113.0,9755,5,18,13,Pending,1,2.6,2024-11-06,1
SHP00046,AirExpress,Mumbai,Cape Town,Industrial,4715.8,16678,12,17,5,Pending,4,2.1,2024-01-10,1
SHP00047,QuickMove,Rotterdam,Sydney,Pharma,881.8,16997,4,4,0,Held,3,2.3,2024-04-26,0
SHP00048,FastShip,Ṣo Paulo,London,Industrial,1296.5,11651,14,13,0,Held,1,4.6,2024-09-20,0
SHP00049,GroundPlus,Dubai,New York,Electronics,4633.9,14846,17,18,1,Cleared,4,3.8,2024-02-22,0
SHP00050,GroundPlus,Mumbai,Frankfurt,Electronics,843.6,4368,9,18,9,Pending,2,4.1,2024-09-16,1
SHP00051,AirExpress,Dubai,Cape Town,Electronics,779.9,12418,13,15,2,Cleared,1,3.3,2024-07-31,0
SHP00052,FastShip,Shanghai,Cape Town,Industrial,1713.2,17048,8,8,0,Held,2,4.1,2024-07-31,0
SHP00053,QuickMove,Dubai,Tokyo,Pharma,766.5,17855,16,21,5,Pending,3,3.2,2024-07-28,1
